year,municipality,department,total_cases
2013,"SAN PABLO JOCOPILAS",SUCHITEPEQUEZ,11
2013,"SAN MANUEL CHAPARRÓN",JALAPA,11
2013,"PUEBLO NUEVO VIÑAS","SANTA ROSA",11
2013,"SAN PABLO","SAN MARCOS",11
2013,OLOPA,CHIQUIMULA,11
2013,TAXISCO,"SANTA ROSA",11
2013,"EL RODEO","SAN MARCOS",11
2013,"SAN JUAN TECUACO","SANTA ROSA",11
2013,"SAN JUAN BAUTISTA",SUCHITEPEQUEZ,11
2013,MONJAS,JALAPA,11
2013,JEREZ,JUTIAPA,11
2013,"SANTA CATARINA MITA",JUTIAPA,10
2013,CHUARRANCHO,GUATEMALA,10
2013,IPALA,CHIQUIMULA,10
2013,"SAN BERNARDINO",SUCHITEPEQUEZ,10
2013,RABINAL,"BAJA VERAPAZ",9
2013,"SAN JUAN SACATEPÉQUEZ",GUATEMALA,9
2013,"SAN PEDRO PINULA",JALAPA,9
2013,"SAN PEDRO NECTA",HUEHUETENANGO,8
2013,"SAN ANTONIO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,8
2013,YEPOCAPA,CHIMALTENANGO,8
2013,"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,7
2013,"SAN JOSÉ EL IDOLO",SUCHITEPEQUEZ,7
2013,"SAN JOSÉ POAQUIL",CHIMALTENANGO,7
2013,FRAIJANES,GUATEMALA,6
2013,PATULUL,SUCHITEPEQUEZ,6
2013,"SAN RAFAEL PIÉ DE LA CUESTA","SAN MARCOS",6
2013,"SAN MARTÍN JILOTEPEQUE",CHIMALTENANGO,5
2013,"MORAZÁN","EL PROGRESO",5
2013,TACTIC,"ALTA VERAPAZ",5
2013,"SANTA BÁRBARA",SUCHITEPEQUEZ,5
2013,PANAJACHEL,SOLOLA,5
2013,"EL ADELANTO",JUTIAPA,5
2013,"EL CHOL","BAJA VERAPAZ",5
2013,CHIQUIMULILLA,"SANTA ROSA",4
2013,"MALACATÁN","SAN MARCOS",4
2013,CHIMALTENANGO,CHIMALTENANGO,4
2013,CHICACAO,SUCHITEPEQUEZ,4
2013,"TUCURÚ","ALTA VERAPAZ",4
2013,"SAN MARCOS","SAN MARCOS",4
2013,YUPILTEPEQUE,JUTIAPA,4
2013,"SENAHÚ","ALTA VERAPAZ",4
2013,"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,4
2013,"PATZITÉ",QUICHE,4
2013,"SAN AGUSTÍN ACASAGUASTLÁN","EL PROGRESO",3
2013,"LA REFORMA","SAN MARCOS",3
2013,MOYUTA,JUTIAPA,3
2013,PASTORES,SACATEPEQUEZ,3
2013,SANSARE,"EL PROGRESO",3
2013,ZUNILITO,SUCHITEPEQUEZ,3
2013,"AGUA BLANCA",JUTIAPA,3
2013,"SAN ANDRÉS","EL PETEN",2
2013,JOYABAJ,QUICHE,2
2013,"LA LIBERTAD","EL PETEN",2
2013,"LA UNIÓN",ZACAPA,2
2013,"LAS CRUCES","EL PETEN",2
2013,"SAN JACINTO",CHIQUIMULA,2
2013,"SANTA MARÍA IXHUATÁN","SANTA ROSA",2
2013,"SAN GABRIEL",SUCHITEPEQUEZ,2
2013,"SAN BARTOLOMÉ JOCOTENANGO",QUICHE,2
2013,"NAHUALÁ",SOLOLA,2
2013,"SAN CARLOS ALZATATE",JALAPA,2
2013,"PUEBLO NUEVO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,2
2013,POCHUTA,CHIMALTENANGO,2
2013,CHINIQUE,QUICHE,2
2013,HUEHUETENANGO,HUEHUETENANGO,1
2013,"SOLOLÁ",SOLOLA,1
2013,"SAN JOSÉ PINULA",GUATEMALA,1
2013,CONGUACO,JUTIAPA,1
2013,"LA LIBERTAD",HUEHUETENANGO,1
2013,"TAMAHÚ","ALTA VERAPAZ",1
2013,PASACO,JUTIAPA,1
2013,"SAN MIGUEL USPANTÁN",QUICHE,1
2013,"SANTA CRUZ DEL QUICHÉ",QUICHE,1
2013,"SAN LUCAS SACATEPÉQUEZ",SACATEPEQUEZ,1
2013,SUMPANGO,SACATEPEQUEZ,1
2013,"SAN JUAN LA LAGUNA",SOLOLA,1
2013,"SAN JUAN CHAMELCO","ALTA VERAPAZ",1
2013,"PURULHÁ","BAJA VERAPAZ",1
2013,"SAN SEBASTIÁN HUEHUETENANGO",HUEHUETENANGO,1
2013,JOCOTENANGO,SACATEPEQUEZ,1
2013,"SAN JUAN ATITÁN",HUEHUETENANGO,1
2013,"SAN ANDRÉS XECUL",TOTONICAPAN,1
2013,"SANTA MARÍA DE JESÚS",SACATEPEQUEZ,1
2013,CHAJUL,QUICHE,1
2013,"CONCEPCIÓN",SOLOLA,1
2014,GUATEMALA,GUATEMALA,2048
2014,COATEPEQUE,QUETZALTENANGO,1883
2014,ESCUINTLA,ESCUINTLA,1077
2014,"ANTIGUA GUATEMALA",SACATEPEQUEZ,1065
2014,AYUTLA,"SAN MARCOS",819
2014,ZACAPA,ZACAPA,807
2014,RETALHULEU,RETALHULEU,788
2014,"PUERTO BARRIOS",IZABAL,694
2014,MIXCO,GUATEMALA,681
2014,BARBERENA,"SANTA ROSA",578
2014,"EL JÍCARO","EL PROGRESO",462
2014,"VILLA NUEVA",GUATEMALA,357
2014,"SAN ANDRÉS VILLA SECA",RETALHULEU,336
2014,CUILAPA,"SANTA ROSA",316
2014,CHIQUIMULA,CHIQUIMULA,310
2014,"AMATITLÁN",GUATEMALA,303
2014,TIQUISATE,ESCUINTLA,281
2014,GUASTATOYA,"EL PROGRESO",255
2014,CHIQUIMULILLA,"SANTA ROSA",242
2014,"EL PALMAR",QUETZALTENANGO,242
2014,"GÉNOVA",QUETZALTENANGO,223
2014,JUTIAPA,JUTIAPA,210
2014,"VILLA CANALES",GUATEMALA,191
2014,ESTANZUELA,ZACAPA,189
2014,"SALAMÁ","BAJA VERAPAZ",183
2014,"NUEVA SANTA ROSA","SANTA ROSA",178
2014,JALAPA,JALAPA,151
2014,"SAN MIGUEL PETAPA",GUATEMALA,148
2014,"GUALÁN",ZACAPA,137
2014,"NUEVA CONCEPCIÓN",ESCUINTLA,131
2014,"COBÁN","ALTA VERAPAZ",129
2014,COLOMBA,QUETZALTENANGO,116
2014,"LA GOMERA",ESCUINTLA,109
2014,"IXCÁN",QUICHE,105
2014,"PALÍN",ESCUINTLA,103
2014,"FLORES COSTA CUCA",QUETZALTENANGO,100
2014,PAJAPITA,"SAN MARCOS",100
2014,LIVINGSTON,IZABAL,96
2014,JALPATAGUA,JUTIAPA,87
2014,"SANTA ROSA DE LIMA","SANTA ROSA",87
2014,"SAN ANTONIO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,82
2014,MASAGUA,ESCUINTLA,79
2014,"MALACATÁN","SAN MARCOS",79
2014,"TECULUTÁN",ZACAPA,78
2014,"EL TUMBADOR","SAN MARCOS",77
2014,MORALES,IZABAL,74
2014,"EL ASINTAL",RETALHULEU,74
2014,"OCÓS","SAN MARCOS",71
2014,"EL QUETZAL","SAN MARCOS",67
2014,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",65
2014,"JOCOTÁN",CHIQUIMULA,65
2014,CUYOTENANGO,SUCHITEPEQUEZ,64
2014,"SAN AGUSTÍN ACASAGUASTLÁN","EL PROGRESO",64
2014,"SAN JOSÉ DEL GOLFO",GUATEMALA,60
2014,"USUMATLÁN",ZACAPA,60
2014,MAZATENANGO,SUCHITEPEQUEZ,57
2014,"PUERTO DE SAN JOSÉ",ESCUINTLA,55
2014,"LOS AMATES",IZABAL,55
2014,"SAN GABRIEL",SUCHITEPEQUEZ,55
2014,"RÍO BRAVO",SUCHITEPEQUEZ,54
2014,"SAN JORGE",ZACAPA,49
2014,"SAN JOSÉ LA ARADA",CHIQUIMULA,49
2014,ALOTENANGO,SACATEPEQUEZ,48
2014,"EL CHAL","EL PETEN",46
2014,"POPTÚN","EL PETEN",41
2014,TAXISCO,"SANTA ROSA",41
2014,CATARINA,"SAN MARCOS",40
2014,"SAN VICENTE PACAYA",ESCUINTLA,39
2014,"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,39
2014,"MORAZÁN","EL PROGRESO",38
2014,"SIQUINALÁ",ESCUINTLA,37
2014,"SAN RAFAEL LAS FLORES","SANTA ROSA",36
2014,"NUEVO PROGRESO","SAN MARCOS",36
2014,"SANTA CATARINA IXTAHUACÁN",SOLOLA,36
2014,"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,34
2014,"ASUNCIÓN MITA",JUTIAPA,34
2014,IZTAPA,ESCUINTLA,34
2014,"SAN SEBASTIÁN",RETALHULEU,33
2014,"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,33
2014,CUBULCO,"BAJA VERAPAZ",32
2014,"CAMOTÁN",CHIQUIMULA,31
2014,"LA DEMOCRACIA",HUEHUETENANGO,30
2014,"SAN JUAN SACATEPÉQUEZ",GUATEMALA,30
2014,"EL ESTOR",IZABAL,29
2014,"SAN JERÓNIMO","BAJA VERAPAZ",28
2014,"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",27
2014,"SANTA CRUZ VERAPAZ","ALTA VERAPAZ",26
2014,"LA DEMOCRACIA",ESCUINTLA,25
2014,PATULUL,SUCHITEPEQUEZ,25
2014,"HUITÉ",ZACAPA,25
2014,CASILLAS,"SANTA ROSA",24
2014,"CAHABÓN","ALTA VERAPAZ",24
2014,"PUEBLO NUEVO VIÑAS","SANTA ROSA",24
2014,GUANAGAZAPA,ESCUINTLA,23
2014,"SAN MARCOS","SAN MARCOS",23
2014,CHAMPERICO,RETALHULEU,22
2014,"SAN FRANCISCO","EL PETEN",22
2014,"CIUDAD VIEJA",SACATEPEQUEZ,21
2014,"SANTA ANA","EL PETEN",20
2014,ESQUIPULAS,CHIQUIMULA,20
2014,DOLORES,"EL PETEN",19
2014,"RÍO HONDO",ZACAPA,19
2014,"SAN BERNARDINO",SUCHITEPEQUEZ,19
2014,"SAN JOSÉ ACATEMPA",JUTIAPA,18
2014,"SAN FELIPE",RETALHULEU,18
2014,"GUAZACAPÁN","SANTA ROSA",18
2014,"SAYAXCHÉ","EL PETEN",17
2014,"SAN PEDRO PINULA",JALAPA,17
2014,RABINAL,"BAJA VERAPAZ",16
2014,"CABAÑAS",ZACAPA,16
2014,COMAPA,JUTIAPA,16
2014,MOYUTA,JUTIAPA,16
2014,CHAHAL,"ALTA VERAPAZ",14
2014,"NUEVO SAN CARLOS",RETALHULEU,14
2014,"SAN PABLO","SAN MARCOS",14
